Company,Position
JPMorgan Chase & Co.,Software Engineer Senior Associate
J.P. Morgan,"CIB, Blockchain"
JPMorgan Chase & Co.,Software Engineer
JPMorgan Chase & Co.,Associate
JPMorgan Chase & Co.,Software Engineer
JPMorgan Chase & Co.,Data Engineer
JPMorgan Chase & Co.,Executive Director
JPMorgan Chase & Co.,Associate
JPMorgan Chase & Co.,Associate Software Engineer
JPMorgan Chase & Co.,Equity Derivatives Technology
Hult Prize Foundation,Teams Coordinator (HKUST)
Nova Talent,Member
Goldman Sachs,Experienced Hire Recruiting Coordinator (Engineering)
JPMorgan Chase & Co.,Director Software Engineering
Hitachi Vantara,Machine Learning Engineer
Tokopedia,Product Management Intern
Airbnb,Airbnb for Work Lead - Australia & New Zealand
The Hong Kong University of Science and Technology,Student Ambassador
AECOM,Graduate Engineer- Water and Urban Development
JPMorgan Chase & Co.,Software Engineer Intern
"Delcan, A Parsons Company",Software Engineering Trainee
StashAway,Head of People & Culture
Vyond,Software Engineer Intern
United Overseas Bank Limited (UOB),Summer Trainee
JPMorgan Chase & Co.,Software Engineer
JPMorgan Chase & Co.,Associate Software Engineer
JPMorgan Chase & Co.,Vice President
UBC Sauder School of Business,MM Society- VP Internal
JPMorgan Chase & Co.,Analyst
The Hong Kong University of Science and Technology,Student Ambassador
I'M Intelligent Memory Limited,Summer Intern
摩根大通,Software Engineer
JPMorgan Chase & Co.,Analyst - Global Technology
Rocket Internet SE,Operations - Stealth F&B Venture 
VZ VermögensZentrum,Associate Senior Portfolio Manager
iGEM Competition,iGEM 2019 Team Member
The Kommon Goods,Business Development Specialist
LIBBLER,Founding Partner
thegoodiefoodiee,Nutritionist
Morgan McKinley,Senior Manager - Tech & Digital
J.P. 摩根,Software Engineer
Société Générale,Market Access Winter Intern
JPMorgan Chase & Co.,Executive Director
Bina Nusantara University,Teaching Assistant
J.P. Morgan,Software Engineer (Associate)
JPMorgan Chase & Co.,Software Engineer
J.P. Morgan,Software Engineer
"""Clytemnestra"" (2019 feature film)",Associate Producer
UBS,Equities Sales Industrial Placement
JPMorgan Chase & Co.,Vice President
MG Group,Intern
Bank of America Merrill Lynch,Technology Analyst Summer Intern
GovTech Singapore,Director of Government Digital Services
NaradaCode,DevOps & Agile Coach
J.P. Morgan,Software Engineer
Teach For Hong Kong,Recruitment Associate
Evolution Partners,Marketing Analyst
Freelance,Independent Web Developer
"ModuleSix, LLC",Founder at ModuleSix
JPMorgan Chase & Co.,Software Engineer
JPMorgan Chase & Co.,Software Engineer
PwC Hong Kong and Mainland China,Associate
J.P. Morgan,Software Engineer
JPMorgan Chase & Co.,Technology Analyst
JPMorgan Chase & Co.,Software Engineer
JPMorgan Chase & Co.,Software Engineer
JPMorgan Chase & Co.,"Analyst, Software Engineering"
JPMorgan Chase & Co.,Analyst
JPMorgan Chase & Co.,Software Engineer
JPMorgan Chase & Co.,Software Engineer
JPMorgan Chase & Co.,Software Engineer
J.P. Morgan,Analyst
JPMorgan Chase & Co.,Software Engineer
JPMorgan Chase & Co.,Software Engineer
JPMorgan Chase & Co.,Software Engineer
J.P. Morgan,Software Engineer
JPMorgan Chase & Co.,Software Engineer
J.P. Morgan,Software Engineer
J.P. Morgan Asset Management,Software Engineer
The Hong Kong University of Science and Technology,Ph.D. Candidate
JPMorgan Chase & Co.,Analyst (Corporate Investment Bank)
J.P. Morgan,Software Engineer
J.P. Morgan,Software Engineering Program 2019
J.P. Morgan,Analyst
Invbots (Invest Bots Limited),Software Engineer
J.P. Morgan,Software Engineer Analyst
JPMorgan Chase & Co.,Software Engineer
JPMorgan Chase & Co.,Analyst
J.P. Morgan,Software Engineer
JPMorgan Chase & Co.,Software Engineer
JPMorgan Chase & Co.,Software Engineer
J.P. Morgan,Software Development Analyst
J.P. Morgan Asset Management,Software Engineer I
J.P. Morgan,Software Engineer
Arkitekton Limatama,Intern
JPMorgan Chase & Co.,Software Engineering Analyst
J.P. Morgan,Software Engineer
Daniel Wireless Software,Android Application Developer Intern
JPMorgan Chase & Co.,Software Engineer
J.P. Morgan,Talent Development Manager (APAC Software Engineer Program Management Team)
JPMorgan Chase & Co.,Analyst
J.P. Morgan,Software Engineering Analyst
Google,SMB Marketing Intern
Oxford Political Review,Founding Editor
The Hong Kong University of Science and Technology,Senior Student Ambassador
HKUST Business School,HKUST Business Student Ambassadors
EY,Financial Services Advisory - Cybersecurity Consultant
Citadel Securities,Software Engineer
Traders@UST,President
Broskis Serratos LLC ,Executive Secretary
ID TECH,Web Application Developer
Entrepreneur First,Regional Talent Associate
BOCI-Prudential Asset Management Limited,Research Analyst
Ambi Labs,HR Business Partner
KB Kookmin Bank 국민은행,Investment Banking Officer
LoGan Ahwaya Nusantara,iOS App Developer
Carnegie Mellon University,Summer Research Assistant
KPMG,Consultant
MyiCellar 雲窖,Web Developer Intern
The Hong Kong University of Science and Technology,Librarian
UBS,Graduate Trainee
Entrepreneur First,Regional Sourcing Manager
oneshop.cloud,Chief Creative Officer (CCO)
HKUST Business School,Student Ambassador
Kata.ai,Talent Management
Kingfish Group,Research Associate
Intel Corporation,Sales Development Intern
J.P. Morgan,Software Engineer
McKinsey & Company,Partner
J.P. Morgan,Investment Banking Summer Analyst
KOS International Limited,"Senior Consultant - Corporate Services, Technology"
J.P. Morgan,Markets Seasonal Anayst
MRM//McCann,Data Researcher
The Hong Kong University of Science and Technology,Sub Commitee Member of South Asian Student Society
IRESC,Summer Intern
Kata.ai,People Partner
Goldman Sachs,Equities Cash Algo Strats Analyst
Coin Dragon,CEO & Co-Founder
The Hong Kong University of Science and Technology,M.Phil. Research Assistant
Goldman Sachs,Incoming Securities Summer Analyst
Bank Mayapada Int. Tbk.,IT Development
Fiverr,Freelance
HKUST Cybathlon 2020,Mechanical Engineer
ASM,Intern
The Hong Kong University of Science and Technology,Master of Philosophy (Mphil) candidate in Industrial Engineering and Decision Analytics
Google,Senior Software Engineer
Societe Generale Corporate and Investment Banking - SGCIB,Equity Derivatives IT - Structured Products
Société Générale,Data Science Intern
Kata.ai (YesBoss),Software Engineer
BAce Capital,Part Time Intern
Deutsche Bank,Summer Analyst
Shopee,Cross Border eCommerce
CCB International,Sales & Trading Summer Analyst
Kata.ai,Software Engineer Intern
